country,count,year
Slovakia,6,2004
Argentina,6,2004
Iran,6,2004
South Africa,6,2004
Switzerland,5,2004
New Zealand,5,2004
Egypt,5,2004
Uzbekistan,5,2004
North Korea,5,2004
Azerbaijan,5,2004
Croatia,5,2004
Taiwan,5,2004
Jamaica,5,2004
Latvia,4,2004
Slovenia,4,2004
Mexico,4,2004
Indonesia,4,2004
Georgia,4,2004
Chile,3,2004
Morocco,3,2004
Zimbabwe,3,2004
Portugal,3,2004
Lithuania,3,2004
Estonia,3,2004
Belgium,3,2004
Finland,2,2004
Colombia,2,2004
Nigeria,2,2004
Venezuela,2,2004
Israel,2,2004
Bahamas,2,2004
Serbia and Montenegro,2,2004
India,1,2004
Mongolia,1,2004
Cameroon,1,2004
Paraguay,1,2004
Syria,1,2004
Eritrea,1,2004
United Arab Emirates,1,2004
Dominican Republic,1,2004
Trinidad and Tobago,1,2004
Hong Kong,1,2004
United States,121,2016
China,70,2016
Great Britain,67,2016
Russian Federation,56,2016
Germany,42,2016
France,42,2016
Japan,41,2016
Australia,29,2016
Italy,28,2016
Canada,22,2016
South Korea,21,2016
Netherlands,19,2016
Brazil,19,2016
New Zealand,18,2016
Azerbaijan,18,2016
Spain,17,2016
Kazakhstan,17,2016
Hungary,15,2016
Denmark,15,2016
Kenya,13,2016
Uzbekistan,13,2016
Poland,11,2016
Sweden,11,2016
Ukraine,11,2016
Cuba,11,2016
Jamaica,11,2016
Czech Republic,10,2016
South Africa,10,2016
Croatia,10,2016
Belarus,9,2016
Iran,8,2016
Colombia,8,2016
Ethiopia,8,2016
Turkey,8,2016
Serbia,8,2016
Switzerland,7,2016
North Korea,7,2016
Georgia,7,2016
Thailand,6,2016
Greece,6,2016
Belgium,6,2016
Mexico,5,2016
Malaysia,5,2016
Romania,5,2016
Norway,4,2016
Slovenia,4,2016
Slovakia,4,2016
Argentina,4,2016
Lithuania,4,2016
Armenia,4,2016
Indonesia,3,2016
Egypt,3,2016
Venezuela,3,2016
Tunisia,3,2016
Bulgaria,3,2016
Taiwan,3,2016
India,2,2016
Algeria,2,2016
Mongolia,2,2016
Vietnam,2,2016
Ireland,2,2016
Israel,2,2016
Kuwait,2,2016
Bahamas,2,2016
Bahrain,2,2016
Côte d'Ivoire,2,2016
Austria,1,2016
Finland,1,2016
Niger,1,2016
Nigeria,1,2016
Morocco,1,2016
Philippines,1,2016
Tajikistan,1,2016
Jordan,1,2016
Portugal,1,2016
United Arab Emirates,1,2016
Dominican Republic,1,2016
Estonia,1,2016
Moldova,1,2016
Burundi,1,2016
Fiji,1,2016
Qatar,1,2016
Kosovo,1,2016
Trinidad and Tobago,1,2016
Singapore,1,2016
Grenada,1,2016
Puerto Rico,1,2016
United States,104,2012
China,88,2012
Russian Federation,81,2012
Great Britain,65,2012
Germany,44,2012
Japan,38,2012
Australia,35,2012
France,34,2012
Italy,28,2012
South Korea,28,2012
Netherlands,20,2012
Ukraine,20,2012
Canada,18,2012
Hungary,18,2012
Spain,17,2012
Brazil,17,2012
Cuba,14,2012
New Zealand,13,2012
Kazakhstan,13,2012
Iran,12,2012
Belarus,12,2012
Jamaica,12,2012
Kenya,11,2012
Czech Republic,10,2012
Poland,10,2012
Azerbaijan,10,2012
Romania,9,2012
Denmark,9,2012
Sweden,8,2012
Colombia,8,2012
Mexico,7,2012
Ethiopia,7,2012
Georgia,7,2012
India,6,2012
South Africa,6,2012
North Korea,6,2012
Ireland,6,2012
Croatia,6,2012
Mongolia,5,2012
Turkey,5,2012
Lithuania,5,2012
Norway,4,2012
Switzerland,4,2012
Slovenia,4,2012
Slovakia,4,2012
Argentina,4,2012
Uzbekistan,4,2012
Serbia,4,2012
Trinidad and Tobago,4,2012
Finland,3,2012
Thailand,3,2012
Tunisia,3,2012
Belgium,3,2012
Armenia,3,2012
Latvia,2,2012
Indonesia,2,2012
Egypt,2,2012
Malaysia,2,2012
Greece,2,2012
Bulgaria,2,2012
Dominican Republic,2,2012
Estonia,2,2012
Taiwan,2,2012
Moldova,2,2012
Qatar,2,2012
Singapore,2,2012
Puerto Rico,2,2012
Algeria,1,2012
Saudi Arabia,1,2012
Venezuela,1,2012
Afghanistan,1,2012
Botswana,1,2012
Morocco,1,2012
Gabon,1,2012
Uganda,1,2012
Tajikistan,1,2012
Guatemala,1,2012
Portugal,1,2012
Kuwait,1,2012
Bahamas,1,2012
Montenegro,1,2012
Cyprus,1,2012
Bahrain,1,2012
Grenada,1,2012
Hong Kong,1,2012
United States,94,2000
Russian Federation,89,2000
China,58,2000
Australia,58,2000
Germany,56,2000
France,38,2000
Italy,34,2000
Cuba,29,2000
Great Britain,28,2000
South Korea,28,2000
Romania,26,2000
Netherlands,25,2000
Ukraine,23,2000
Japan,18,2000
Belarus,17,2000
Hungary,17,2000
Canada,14,2000
Poland,14,2000
Greece,13,2000
Bulgaria,13,2000
Sweden,12,2000
Brazil,12,2000
Spain,11,2000
Norway,10,2000
Switzerland,9,2000
Jamaica,9,2000
Czech Republic,8,2000
Ethiopia,8,2000
Kazakhstan,7,2000
Kenya,7,2000
Mexico,6,2000
Indonesia,6,2000
Georgia,6,2000
Denmark,6,2000
Slovakia,5,2000
Algeria,5,2000
South Africa,5,2000
Turkey,5,2000
Morocco,5,2000
Lithuania,5,2000
Taiwan,5,2000
Belgium,5,2000
Finland,4,2000
New Zealand,4,2000
Argentina,4,2000
Iran,4,2000
Uzbekistan,4,2000
North Korea,4,2000
Austria,3,2000
Latvia,3,2000
Nigeria,3,2000
Thailand,3,2000
Azerbaijan,3,2000
Estonia,3,2000
Yugoslavia,3,2000
Slovenia,2,2000
Saudi Arabia,2,2000
Portugal,2,2000
Croatia,2,2000
Costa Rica,2,2000
Moldova,2,2000
Bahamas,2,2000
Trinidad and Tobago,2,2000
India,1,2000
Colombia,1,2000
Mozambique,1,2000
Chile,1,2000
Cameroon,1,2000
Vietnam,1,2000
Kyrgyzstan,1,2000
Uruguay,1,2000
Iceland,1,2000
Ireland,1,2000
Sri Lanka,1,2000
Armenia,1,2000
Macedonia,1,2000
Israel,1,2000
Kuwait,1,2000
Qatar,1,2000
Barbados,1,2000
United States,101,1996
Germany,65,1996
Russian Federation,63,1996
China,50,1996
Australia,41,1996
France,37,1996
Italy,35,1996
South Korea,27,1996
Cuba,25,1996
Ukraine,23,1996
Canada,22,1996
Hungary,21,1996
Romania,20,1996
Netherlands,19,1996
Spain,17,1996
Poland,17,1996
Great Britain,15,1996
Brazil,15,1996
Belarus,15,1996
Bulgaria,15,1996
Japan,14,1996
Czech Republic,11,1996
Kazakhstan,11,1996
Sweden,8,1996
Kenya,8,1996
Greece,8,1996
Norway,7,1996
Switzerland,7,1996
New Zealand,6,1996
Nigeria,6,1996
Turkey,6,1996
Denmark,6,1996
Belgium,6,1996
Jamaica,6,1996
South Africa,5,1996
North Korea,5,1996
Finland,4,1996
Indonesia,4,1996
Ireland,4,1996
Yugoslavia,4,1996
Austria,3,1996
Slovakia,3,1996
Argentina,3,1996
Algeria,3,1996
Iran,3,1996
Ethiopia,3,1996
Slovenia,2,1996
Namibia,2,1996
Thailand,2,1996
Uzbekistan,2,1996
Morocco,2,1996
Malaysia,2,1996
Portugal,2,1996
Georgia,2,1996
Croatia,2,1996
Moldova,2,1996
Armenia,2,1996
Trinidad and Tobago,2,1996
Latvia,1,1996
India,1,1996
Mexico,1,1996
Mongolia,1,1996
Mozambique,1,1996
Zambia,1,1996
Philippines,1,1996
Ecuador,1,1996
Uganda,1,1996
Syria,1,1996
Tunisia,1,1996
Azerbaijan,1,1996
Lithuania,1,1996
Costa Rica,1,1996
Taiwan,1,1996
Burundi,1,1996
Israel,1,1996
Bahamas,1,1996
Tonga,1,1996
Puerto Rico,1,1996
Hong Kong,1,1996
